Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,27.2673911512668,28.9778991754721,31.5697983098872,31.5719544148007,31.3042698874727
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,23.1717780134205,20.8724852102256,22.6322322911166,25.8611508241538,22.7144042064991
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,63.5958395245171,63.9344262295082,59.1503267973856,68.2316118935837,61.6692426584235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,29.7545979506807,28.1244854472006,29.0041020030504,40.8362898299819,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,76.0362087740055,72.6104599899969,67.742327449615,64.5720629235058,71.397907414244
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,10.7056520504538,12.5270951690009,11.3202833596733,14.4366857499034,17.9248783778462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,29.7253912120334,33.7442798606396,38.2160456550464,39.3928940286073,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,72.8474736048265,71.8164950383823,72.5545618789521,72.2526488751745,73.2347164278648
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,20.0680710032927,19.272258011581,21.231183492644,21.8734041196439,24.1515391092117
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,53.0890605587958,52.4063936498056,54.0511531414978,55.4622191178234,55.7572063557543
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,37.7947774917249,46.4276493913136,48.547864732761,54.0922938620586,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,36.3585741332488,33.2147598461381,32.3850328477578,35.9289056078902,35.5364622818504
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,83.1072099110581,74.2008275338583,75.7796814248463,79.2525219237919,76.485960757711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,17.3366737865485,13.9212044814459,12.8197468906003,12.6747879443391,13.0947560042783
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,40.0511900121642,36.5355064781905,35.7530937568935,35.5248066264005,36.4821336338451
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,58.0102324546769,62.5093471231924,66.7899156485229,70.4545454545455,65.0944096428465
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,77.8052821516798,79.4296154739536,83.1824102499921,83.0796294670067,82.3971992752511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,51.1648948201764,46.9116670356431,49.3657042869641,51.0799136069114,51.2518104696876
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,24.7204512110389,27.6067880711982,27.2055947818832,27.2742306189085,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,49.9708394613543,49.3300565760921,48.5381492501872,51.4791563825902,51.7434243981752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,34.4356493984662,29.6169744797177,30.0831893767679,30.8177060148869,33.9390638133457
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,30.8682960291245,24.4880055394464,24.9041443675799,25.9887950588635,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,35.1148757547467,35.9087095400508,40.3244111550865,41.9845635628313,40.0400711149533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,53.0908973428197,54.6113547604529,42.9200424885539,44.2281439237392,37.0878176661963
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,12.9001914177405,12.4666790443888,12.5189678700669,14.6349994952986,14.1229191903622
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,52.2105973675329,49.5769062738125,49.5732416988601,51.93227637834,57.946040538108
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,63.8000873997926,63.8704805492615,66.9945956439964,65.6958529144087,63.9339174577794
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,26.1076455357024,25.915964804251,26.4523856350501,28.0789061419219,27.6161121175574
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,6.41727356534236,6.38452218976084,6.02657432870477,5.6856543143069,5.17203999926172
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,41.1354523359312,41.4729487181747,42.0688035837608,45.865993464408,46.751114388992
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,61.7184237585908,61.2815249294976,60.6819578072322,61.5957275117758,61.0912965228197
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,20.9891496294213,18.9499787559649,18.3510985830022,18.7362534690181,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,31.8499609634443,31.5025724093362,31.4544101509781,32.3254037264858,32.3526958202565
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,..,..,74.0218172352361,71.587849045473,69.4710256634634
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,17.0676606236635,14.8218796578137,17.2597737600181,15.9400300007701,15.7553800018083
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,30.0017608897127,26.2950367647059,33.8729624845644,36.1906824485852,36.7422534363826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,29.1910794903954,27.9231581098055,28.3313768341631,28.529044739773,27.8432682037896
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,21.3540798828848,19.5843800536482,19.6922769882201,19.1121035364139,18.4099923154801
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia,COL,15.6502115094968,14.7171392781975,15.1452897484005,15.8997196775431,15.8680386541241
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros,COM,10.1361983069761,10.6728955768962,11.9013164484663,12.909022989086,12.7734606325226
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,27.7255678009959,23.9564422024927,35.250522178686,32.5535282648245,25.8676651007229
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,42.7281670012992,44.9994634933708,58.0645475862676,71.0295689513304,73.7922877464661
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,29.9956578647983,31.2600963003845,32.7626831479863,33.7385107761536,34.3253215593308
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,27.3532437923476,24.9418624533151,25.4987866021143,22.6941999168587,23.0234557287769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,45.6753545345036,46.8639888925201,49.1107914691605,49.3929449603522,50.5945384549445
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba,CUB,17.1473494542825,14.9830360074423,14.5512178500996,14.5227386306847,12.2133271454538
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao,CUW,67.5149178371431,61.9672374175376,58.6467421570447,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus,CYP,70.0173031293258,70.4840522281272,73.8364840623299,74.9673023347764,76.4931313665996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czechia,CZE,80.5587781149995,79.1070766309635,79.0271394981121,76.9435759590934,73.8797803262645
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,55.418174402012,53.4259805224841,55.0773767829077,56.5598044910739,58.6471822154845
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,145.421307480105,103.764025112093,150.098361470494,156.619875027706,166.717746372109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica,DMA,47.3242967417585,44.6311269941253,40.8758761246707,29.1932598071942,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,23.7615822994204,23.909379521893,23.6821453426385,23.5514313052003,23.0692820412923
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,21.2582213779601,19.5047912651498,20.8328178926217,22.6046839884209,23.0483673045907
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,13.1838454928598,10.3454639403558,15.0140868185672,17.984655608418,16.6440314510365
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,29.4861730232304,28.4585905008509,29.0297643758665,28.9343737810256,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,56.6584738218082,51.4128299447575,58.8631052137026,59.6145347244398,51.1307495482003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,77.4354984416443,77.00753773581,75.8098540993405,74.3238978479862,73.884686414146
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,9.36331359735926,7.81208050267299,7.62936862241418,8.37267586646371,7.9399766087609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,53.2164924640527,54.5363339704935,56.3647913807999,52.8180066352782,55.6126699317984
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,48.8367555799083,46.6472413870702,46.015565038712,47.7487957741689,48.1312778068958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,35.4069588665232,34.8104524683015,37.5495468424797,38.4687872116233,39.8806794019795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,30.5926223781313,30.2475371833945,30.9486331871,31.7136672102555,31.5920554143668
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,..,..,19.556958430367,20.9791687502218,20.127494905812
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,46.0320085043705,44.0353472921111,50.2267539725926,54.2990764910062,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,19.59633316034,15.9115118159461,16.7894553936941,21.7264294987761,18.8413979684695
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,40.8622366288493,40.7997544368791,46.5276142251531,50.5585276931977,54.8184931411381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,46.920738356608,46.0732628543356,47.1630406836519,47.3088591421652,46.6696129860707
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,33.8317049892785,31.1932394892801,33.8768744319153,33.4548958825786,37.4495994213844
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,32.1271612438756,31.2874562644429,35.0340942348023,38.9929061011015,40.1099326212275
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,37.5798451272169,40.765047712594,40.692233747059,44.4545789045455,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,18.0720813933437,18.9628876461617,18.9755529685681,19.2371202113606,22.0389569588439
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,19.8299076925978,18.7530892947864,18.4950463014753,18.1693265265636,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,21.4968703899218,29.3715113131113,44.6602984531034,40.207095532907,35.0420493356393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,27.5430439150609,26.5081142999537,27.7739726207238,25.2760949743129,20.2879496621221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,11.7677469841071,11.6019709419147,11.0034703388328,10.780822594633,10.5576734343188
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,45.1667574562581,42.7141047814182,43.0938548370178,41.4548165613247,39.9185126725089
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,195.89760161449,187.005128888725,188.902399636639,188.339507002291,177.651315174364
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,87.5264509328171,86.4047382876954,85.919564059938,83.7553158559384,81.5297406120423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,51.6517214467662,47.4840362948306,45.7322400076772,46.0467623881339,43.6728526585664
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,19.8131891564045,19.1582349105946,18.7917648392982,19.9278285988562,18.664264897257
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,21.1601792598059,19.0889938536664,20.1773044351106,21.0027464972455,18.5915277970883
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,18.7208345068656,21.1617079991403,22.7356882630098,30.2177517344562,23.4838671400313
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,34.5141464410956,28.1085236792986,33.9160634134979,40.8026420265318,38.0518681988838
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,122.096239962113,121.695568587883,121.01688342861,122.784715063326,127.879646181738
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,31.1712490255778,29.9549598852839,29.2422558707299,29.8939141012579,29.2984786508394
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,29.7159823723612,29.3278907466434,30.733733319636,31.3535542007886,31.6024197276206
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,29.9216654806929,31.8134375482687,34.6570625717339,38.5638482851901,38.0360807474106
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,17.4367598376529,16.0579692360598,17.5914391047836,18.3149455985223,17.4635264275221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,36.5444370225267,34.3952100655679,34.7065318671243,35.1277586384661,36.6710473276752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,28.5167080072354,31.8438886422836,32.3977529369879,37.6252184252873,36.4389870990994
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,15.1287339034504,13.2497448006759,12.7366599413725,12.541975333359,11.4279966637126
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,15.7005378640023,19.2200603502915,15.670406504065,10.7554752851711,18.5576587301587
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,42.989561527711,40.1326509111205,40.9342069409884,41.7132908430894,39.2758610673609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,22.4513928552736,23.8274047992876,27.328844878341,29.0534647196644,29.3126074591152
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,53.7662480818489,47.6317246344806,51.1963155925274,57.4954949230184,53.2934327816685
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,35.1896004872594,35.8254088751692,34.2528413648354,31.6017300051143,35.2341542041409
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,33.9522573081909,33.2094274563541,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,60.2753827650078,59.6070823895513,61.5894393630579,61.4589417496788,59.8140791420221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,23.1396677260152,21.7261558871093,21.9269331861763,20.7545211582482,20.6977589568458
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,41.6102539438825,44.3269142147549,46.027263048801,48.809449806788,44.9168728023816
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,22.2273741215145,14.5778875500388,27.1972557138798,39.6135044170514,42.8351172865323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,68.7776407338805,67.5873830562834,73.5951637391515,75.2054048902229,77.3117026146611
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,191.835449041844,191.098633740622,192.747503540731,197.501337465788,204.320817651215
